date,temperature
2020/1/1,15.3
2020/1/2,15.1
2020/1/3,17.1
2020/1/4,14.6
2020/1/5,17
2020/1/6,15.5
2020/1/7,14.6
2020/1/8,17.4
2020/1/9,15.7
2020/1/10,16.4
2020/1/11,17.6
2020/1/12,17.4
2020/1/13,17.7
2020/1/14,16
2020/1/15,14.1
2020/1/16,17.5
2020/1/17,14.8
2020/1/18,15.6
2020/1/19,15.4
2020/1/20,15.7
2020/1/21,16
2020/1/22,17.8
2020/1/23,16.4
2020/1/24,14.7
2020/1/25,15.9
2020/1/26,15.7
2020/1/27,16.2
2020/1/28,17.1
2020/1/29,14.4
2020/1/30,15.6
2020/1/31,17.8
2020/2/1,18.1
2020/2/2,16.8
2020/2/3,17.5
2020/2/4,17.3
2020/2/5,16.3
2020/2/6,15.4
2020/2/7,18.7
2020/2/8,17.4
2020/2/9,16.6
2020/2/10,17.4
2020/2/11,18.4
2020/2/12,16
2020/2/13,15.3
2020/2/14,16.7
2020/2/15,18.3
2020/2/16,17.4
2020/2/17,15.5
2020/2/18,16.9
2020/2/19,16
2020/2/20,16.7
2020/2/21,16.3
2020/2/22,16
2020/2/23,17.7
2020/2/24,15.3
2020/2/25,15.5
2020/2/26,15.5
2020/2/27,16.4
2020/2/28,15.7
2020/2/29,18.2
2020/3/1,17.7
2020/3/2,18.7
2020/3/3,19.7
2020/3/4,17.5
2020/3/5,19.4
2020/3/6,18.4
2020/3/7,20
2020/3/8,19.5
2020/3/9,19.1
2020/3/10,20.6
2020/3/11,18.1
2020/3/12,20.4
2020/3/13,20.6
2020/3/14,17.2
2020/3/15,19.4
2020/3/16,18.5
2020/3/17,18.4
2020/3/18,18.1
2020/3/19,18.5
2020/3/20,18.6
2020/3/21,20.2
2020/3/22,19.8
2020/3/23,18.1
2020/3/24,19
2020/3/25,19.1
2020/3/26,20.3
2020/3/27,18
2020/3/28,17.9
2020/3/29,17
2020/3/30,17.4
2020/3/31,20.7
2020/4/1,24.2
2020/4/2,21
2020/4/3,23.7
2020/4/4,20.3
2020/4/5,24.4
2020/4/6,20.9
2020/4/7,23.4
2020/4/8,22.1
2020/4/9,22.6
2020/4/10,20.6
2020/4/11,22.2
2020/4/12,24.5
2020/4/13,20.1
2020/4/14,22.3
2020/4/15,24.2
2020/4/16,20.7
2020/4/17,23.7
2020/4/18,24.6
2020/4/19,23.2
2020/4/20,23.9
2020/4/21,20.1
2020/4/22,22.2
2020/4/23,20.2
2020/4/24,22.8
2020/4/25,23.5
2020/4/26,24.6
2020/4/27,20.1
2020/4/28,21.6
2020/4/29,23.1
2020/4/30,23
2020/5/1,25.7
2020/5/2,25.7
2020/5/3,24.7
2020/5/4,26
2020/5/5,23.8
2020/5/6,26.4
2020/5/7,25.2
2020/5/8,26.4
2020/5/9,24.7
2020/5/10,24.6
2020/5/11,24.5
2020/5/12,25.9
2020/5/13,23.4
2020/5/14,24.3
2020/5/15,26.1
2020/5/16,25.4
2020/5/17,24.2
2020/5/18,25.4
2020/5/19,24.5
2020/5/20,24.5
2020/5/21,26.5
2020/5/22,24.6
2020/5/23,23.5
2020/5/24,24
2020/5/25,25.9
2020/5/26,26.3
2020/5/27,25.5
2020/5/28,23.2
2020/5/29,26.1
2020/5/30,24.2
2020/5/31,24
2020/6/1,25.6
2020/6/2,28.5
2020/6/3,26.7
2020/6/4,28.6
2020/6/5,26.7
2020/6/6,28.4
2020/6/7,27.6
2020/6/8,27.2
2020/6/9,25.6
2020/6/10,29
2020/6/11,25.1
2020/6/12,25.7
2020/6/13,26.9
2020/6/14,25.8
2020/6/15,26.5
2020/6/16,26.4
2020/6/17,25.7
2020/6/18,26.7
2020/6/19,28.3
2020/6/20,28.5
2020/6/21,27.3
2020/6/22,28.8
2020/6/23,28.3
2020/6/24,29
2020/6/25,25.2
2020/6/26,26.4
2020/6/27,27.9
2020/6/28,26.1
2020/6/29,26.3
2020/6/30,25.2
2020/7/1,27.1
2020/7/2,29.4
2020/7/3,28.4
2020/7/4,30.9
2020/7/5,31.6
2020/7/6,30.5
2020/7/7,31.3
2020/7/8,29.7
2020/7/9,31.9
2020/7/10,30.4
2020/7/11,27.7
2020/7/12,31.9
2020/7/13,29.1
2020/7/14,31.4
2020/7/15,31.8
2020/7/16,27.6
2020/7/17,30.5
2020/7/18,31.6
2020/7/19,29.4
2020/7/20,30.7
2020/7/21,29.8
2020/7/22,27.7
2020/7/23,28.7
2020/7/24,27.1
2020/7/25,30
2020/7/26,29.3
2020/7/27,30.4
2020/7/28,31.2
2020/7/29,30.3
2020/7/30,28.7
2020/7/31,28.8
2020/8/1,30.1
2020/8/2,31.2
2020/8/3,28.7
2020/8/4,30.8
2020/8/5,29.9
2020/8/6,31.8
2020/8/7,28.6
2020/8/8,28.2
2020/8/9,30.9
2020/8/10,29.4
2020/8/11,28.6
2020/8/12,29.5
2020/8/13,30
2020/8/14,29.5
2020/8/15,27.3
2020/8/16,27.3
2020/8/17,28.7
2020/8/18,31.7
2020/8/19,30.1
2020/8/20,31.1
2020/8/21,28.6
2020/8/22,31
2020/8/23,28.2
2020/8/24,27.1
2020/8/25,28.3
2020/8/26,29.7
2020/8/27,27.7
2020/8/28,31.6
2020/8/29,31.4
2020/8/30,28.4
2020/8/31,27.2
2020/9/1,29.8
2020/9/2,27.1
2020/9/3,28.9
2020/9/4,27
2020/9/5,26.7
2020/9/6,27
2020/9/7,27.7
2020/9/8,26.9
2020/9/9,25.7
2020/9/10,28
2020/9/11,26.6
2020/9/12,29.2
2020/9/13,26.6
2020/9/14,26.9
2020/9/15,29.6
