date,temperature
2020-01-01,15.3
2020-01-02,15.1
2020-01-03,17.1
2020-01-04,14.6
2020-01-05,17.0
2020-01-06,15.5
2020-01-07,14.6
2020-01-08,17.4
2020-01-09,15.7
2020-01-10,16.4
2020-01-11,17.6
2020-01-12,17.4
2020-01-13,17.7
2020-01-14,16.0
2020-01-15,14.1
2020-01-16,17.5
2020-01-17,14.8
2020-01-18,15.6
2020-01-19,15.4
2020-01-20,15.7
2020-01-21,16.0
2020-01-22,17.8
2020-01-23,16.4
2020-01-24,14.7
2020-01-25,15.9
2020-01-26,15.7
2020-01-27,16.2
2020-01-28,17.1
2020-01-29,14.4
2020-01-30,15.6
2020-01-31,17.8
2020-02-01,18.1
2020-02-02,16.8
2020-02-03,17.5
2020-02-04,17.3
2020-02-05,16.3
2020-02-06,15.4
2020-02-07,18.7
2020-02-08,17.4
2020-02-09,16.6
2020-02-10,17.4
2020-02-11,18.4
2020-02-12,16.0
2020-02-13,15.3
2020-02-14,16.7
2020-02-15,18.3
2020-02-16,17.4
2020-02-17,15.5
2020-02-18,16.9
2020-02-19,16.0
2020-02-20,16.7
2020-02-21,16.3
2020-02-22,16.0
2020-02-23,17.7
2020-02-24,15.3
2020-02-25,15.5
2020-02-26,15.5
2020-02-27,16.4
2020-02-28,15.7
2020-02-29,18.2
2020-03-01,17.7
2020-03-02,18.7
2020-03-03,19.7
2020-03-04,17.5
2020-03-05,19.4
2020-03-06,18.4
2020-03-07,20.0
2020-03-08,19.5
2020-03-09,19.1
2020-03-10,20.6
2020-03-11,18.1
2020-03-12,20.4
2020-03-13,20.6
2020-03-14,17.2
2020-03-15,19.4
2020-03-16,18.5
2020-03-17,18.4
2020-03-18,18.1
2020-03-19,18.5
2020-03-20,18.6
2020-03-21,20.2
2020-03-22,19.8
2020-03-23,18.1
2020-03-24,19.0
2020-03-25,19.1
2020-03-26,20.3
2020-03-27,18.0
2020-03-28,17.9
2020-03-29,17.0
2020-03-30,17.4
2020-03-31,20.7
2020-04-01,24.2
2020-04-02,21.0
2020-04-03,23.7
2020-04-04,20.3
2020-04-05,24.4
2020-04-06,20.9
2020-04-07,23.4
2020-04-08,22.1
2020-04-09,22.6
2020-04-10,20.6
2020-04-11,22.2
2020-04-12,24.5
2020-04-13,20.1
2020-04-14,22.3
2020-04-15,24.2
2020-04-16,20.7
2020-04-17,23.7
2020-04-18,24.6
2020-04-19,23.2
2020-04-20,23.9
2020-04-21,20.1
2020-04-22,22.2
2020-04-23,20.2
2020-04-24,22.8
2020-04-25,23.5
2020-04-26,24.6
2020-04-27,20.1
2020-04-28,21.6
2020-04-29,23.1
2020-04-30,23.0
2020-05-01,25.7
2020-05-02,25.7
2020-05-03,24.7
2020-05-04,26.0
2020-05-05,23.8
2020-05-06,26.4
2020-05-07,25.2
2020-05-08,26.4
2020-05-09,24.7
2020-05-10,24.6
2020-05-11,24.5
2020-05-12,25.9
2020-05-13,23.4
2020-05-14,24.3
2020-05-15,26.1
2020-05-16,25.4
2020-05-17,24.2
2020-05-18,25.4
2020-05-19,24.5
2020-05-20,24.5
2020-05-21,26.5
2020-05-22,24.6
2020-05-23,23.5
2020-05-24,24.0
2020-05-25,25.9
2020-05-26,26.3
2020-05-27,25.5
2020-05-28,23.2
2020-05-29,26.1
2020-05-30,24.2
2020-05-31,24.0
2020-06-01,25.6
2020-06-02,28.5
2020-06-03,26.7
2020-06-04,28.6
2020-06-05,26.7
2020-06-06,28.4
2020-06-07,27.6
2020-06-08,27.2
2020-06-09,25.6
2020-06-10,29.0
2020-06-11,25.1
2020-06-12,25.7
2020-06-13,26.9
2020-06-14,25.8
2020-06-15,26.5
2020-06-16,26.4
2020-06-17,25.7
2020-06-18,26.7
2020-06-19,28.3
2020-06-20,28.5
2020-06-21,27.3
2020-06-22,28.8
2020-06-23,28.3
2020-06-24,29.0
2020-06-25,25.2
2020-06-26,26.4
2020-06-27,27.9
2020-06-28,26.1
2020-06-29,26.3
2020-06-30,25.2
2020-07-01,27.1
2020-07-02,29.4
2020-07-03,28.4
2020-07-04,30.9
